AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact,Procrastination_num,StudyDelay_num,CourseworkDistraction_num,Procrastination_Index,ImpactOrder
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Significantly ,snapchat,Sometimes ,Slightly ,6,4,5,5.0,2
18–24,Male ,1–3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Significantly ,Often ,Always ,Always ,Always,Always ,Always ,Moderately ,youtube,Often ,Moderately ,6,8,5,6.333333333333333,3
25–34,Male ,More than 3 hours ,Always ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Always ,Often,Often ,Always ,Significantly ,linkedin,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Always ,Moderately ,Sometimes,Often ,Slightly,Significantly ,Rarely ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Moderately ,facebook,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Significantly ,facebook,Often ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Male ,Less than 1 hour ,Rarely ,Slightly ,Sometimes,Sometimes ,Not at all,Moderately ,Sometimes ,Sometimes ,Sometimes ,Rarely,Sometimes ,Sometimes ,Slightly ,instagram,Rarely ,Not at all ,4,2,1,2.3333333333333335,1
25–34,Female ,1–3 hours ,Rarely ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Not at all ,twitter,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,1–3 hours ,Rarely ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Sometimes,Sometimes ,Rarely ,Significantly ,facebook,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Moderately ,Sometimes ,Sometimes ,Rarely ,Sometimes,Sometimes ,Sometimes ,Slightly ,twitter,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Always ,Significantly,Moderately ,Often ,Often ,Often ,Often,Always ,Often ,Moderately ,instagram,Often ,Moderately ,6,6,7,6.333333333333333,3
18–24,Male ,1–3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Significantly ,Often ,Always ,Always ,Always,Always ,Always ,Moderately ,youtube,Often ,Moderately ,6,8,5,6.333333333333333,3
Below 18,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,others,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes,Rarely ,Slightly,Moderately ,Sometimes ,Rarely ,Sometimes ,Rarely,Sometimes ,Rarely ,Moderately ,facebook,Often ,Slightly ,4,2,3,3.0,2
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Not at all,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely,Rarely ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,2,2,1,1.6666666666666667,2
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Rarely ,Slightly,Moderately ,Sometimes ,Rarely ,Sometimes ,Rarely,Rarely ,Sometimes ,Significantly ,facebook,Rarely ,Slightly ,4,2,3,3.0,2
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Sometimes ,Moderately,Moderately ,Often ,Sometimes ,Sometimes ,Often,Often ,Sometimes ,Significantly ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Female ,1–3 hours ,Rarely ,Moderately ,Sometimes,Sometimes ,Slightly,Significantly ,Often ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Significantly ,facebook,Sometimes ,Significantly ,4,4,3,3.6666666666666665,4
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,tiktok,Sometimes ,Slightly ,4,2,3,3.0,2
18–24,Female ,Less than 1 hour ,Sometimes ,Moderately ,Often,Rarely ,Slightly,Significantly ,Often ,Sometimes ,Often ,Often,Often ,Often ,Significantly ,youtube,Rarely ,Significantly ,6,6,3,5.0,4
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Q15. How often do you try to limit social media usage during study sessions?,Sometimes ,Slightly ,linkedin,Rarely ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Not at all ,Often ,Sometimes ,Rarely ,Sometimes,Often ,Rarely ,Moderately ,facebook,Always ,Significantly ,4,4,3,3.6666666666666665,4
25–34,Male ,More than 3 hours ,Sometimes ,Slightly ,Often,Sometimes ,Moderately,Slightly ,Often ,Often ,Often ,Sometimes,Often ,Sometimes ,Moderately ,facebook,Often ,Moderately ,6,4,5,5.0,3
18–24,Male ,1–3 hours ,Often ,Slightly ,Often,Often ,Slightly,Significantly ,Often ,Sometimes ,Often ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Often ,Slightly ,6,4,3,4.333333333333333,2
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Always ,Moderately,Significantly ,Often ,Often ,Often ,Always,Always ,Always ,Moderately ,facebook,Always ,Significantly ,6,8,5,6.333333333333333,4
18–24,Female ,1–3 hours ,Sometimes ,Not at all ,Sometimes,Rarely ,Slightly,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely,Sometimes ,Often ,Moderately ,facebook,Often ,Moderately ,4,2,3,3.0,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Often ,Moderately,Significantly ,Always ,Always ,Always ,Often,Always ,Often ,Moderately ,tiktok,Often ,Moderately ,8,6,5,6.333333333333333,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Always ,Moderately,Significantly ,Often ,Often ,Often ,Always,Always ,Always ,Moderately ,facebook,Always ,Significantly ,6,8,5,6.333333333333333,4
18–24,Male ,Less than 1 hour ,Rarely ,Moderately ,Rarely,Sometimes ,Slightly,Slightly ,Often ,Rarely ,Sometimes ,Rarely,Often ,Sometimes ,Significantly ,facebook,Sometimes ,Slightly ,2,2,3,2.3333333333333335,2
18–24,Female ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Often ,Always ,Always,Sometimes ,Always ,Significantly ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,tiktok,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,youtube,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Sometimes ,Slightly,Moderately ,Always ,Often ,Often ,Often,Often ,Rarely ,Moderately ,facebook,Rarely ,Moderately ,6,6,3,5.0,3
18–24,Female ,1–3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,facebook,Always ,Significantly ,8,8,7,7.666666666666667,4
25–34,Female ,1–3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Often ,Sometimes ,Sometimes ,Often,Rarely ,Sometimes ,Moderately ,others,Always ,Significantly ,4,6,5,5.0,4
18–24,Female ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Slightly,Moderately ,Sometimes ,Rarely ,Rarely ,Sometimes,Often ,Sometimes ,Slightly ,snapchat,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always,Often ,Moderately,Moderately ,Often ,Often ,Always ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,8,6,5,6.333333333333333,3
18–24,Female ,Less than 1 hour ,Sometimes ,Moderately ,Often,Rarely ,Slightly,Significantly ,Often ,Sometimes ,Often ,Often,Often ,Often ,Significantly ,youtube,Rarely ,Significantly ,6,6,3,5.0,4
25–34,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Significantly,Significantly ,Often ,Sometimes ,Often ,Always,Always ,Sometimes ,Significantly ,instagram,Often ,Moderately ,4,8,7,6.333333333333333,3
